order,Delay,Test.Time,Participant.Private.ID,studied_word,original_response,studied_recalled
1,delay,AM,7655544,door,NA,0
2,delay,AM,7655544,bed,NA,0
3,delay,AM,7655544,nurse,NA,0
4,delay,AM,7655544,nose,nose,1
5,delay,AM,7655544,table,NA,0
6,delay,AM,7655544,cigarette,cigarette,1
7,delay,AM,7655544,sour,NA,0
8,delay,AM,7655544,smooth,NA,0
9,delay,AM,7655544,thread,NA,0
10,delay,AM,7655544,garbage,NA,0
11,delay,AM,7655544,mad,NA,0
12,delay,AM,7655544,hard,NA,0
13,delay,AM,7655544,town,NA,0
14,delay,AM,7655544,mug,NA,0
15,delay,AM,7655544,hot,NA,0
16,delay,AM,7655544,hill,NA,0
17,delay,AM,7655544,fast,NA,0
18,delay,AM,7655544,water,NA,0
19,delay,AM,7655544,web,web,1
